"newick","score","hash","truenet","net_hwdist","tree_hwdist","scorediff","h_search","h_est","ndisplayed","irep","irun","lindist","nind","nbiallelic","mutrate","net","paramid"
"(chimp:0.0640387519754736,((#H1:0.0::0.021380723288350674,((((((((non_africa_east:0.0028531715680802077,non_africa_west:0.0013003518215580834):0.00958105870068195)#H3:0.0::0.9786392819577675)#H4:0.0::0.6409684608409485,africa_east:0.0013919859700908697):0.005003618682038057,africa_west:0.0036102375234937723):0.0016629307458416935)#H1:0.0::0.9786192767116493,#H4:0.0::0.3590315391590515):0.0019005438034976313,((denisovan:0.015984216374122028)#H2:0.0::0.9984808289816888,((#H3:0.0::0.021360718042232454,neanderthal_east:0.0024430889441395187):0.0,neanderthal_west:0.00029747577474260997):0.03450081020660215):0.0054232172025767255):0.0628331090958083):0.06398247137890083,#H2:0.0::0.001519171018311238):0.06403875197546942);",7.04192196463379,"fbdd199eafbcfcee4cc451783c727dbf",FALSE,0,2,1.53690794701764,4,4,2,85,12,0.3,10,1e+05,1.25e-07,"fleg","10-0.3-1e+05-1.25e-07-fleg"
"(chimp:0.0804615164649151,((((#H1:0.0::0.351536503986851,((africa_west:0.0040662069764644156,(africa_east:0.001669391654186245,(((non_africa_west:0.0015346804192163754,non_africa_east:0.0032156776216683857):0.010951016399613345)#H2:0.0::0.9807267154902385)#H1:0.0::0.648463496013149):0.004792157707470786):0.001557064291732719)#H3:0.0::0.9878335305636914):0.0003764540184112093,((neanderthal_west:0.0002816641885214036,(neanderthal_east:0.0,#H2:0.0::0.019273284509761512):0.0018595744541994596):0.027453330523883154,(denisovan:0.014935133379129233)#H4:0.0::0.9967996973109324):0.005794646050572644):0.07946547887435322,#H3:0.0::0.012166469436308613):0.08028966185664603,#H4:0.0::0.003200302689067517):0.0804615164649153);",5.89105274587522,"fbdd199eafbcfcee4cc451783c727dbf",FALSE,0,2,1.62134436623359,4,4,2,92,49,0.3,10,1e+05,1.25e-07,"fleg","10-0.3-1e+05-1.25e-07-fleg"
"(chimp:0.1587768571660316,(((((#H1:0.0::0.35838629275497325)#H2:0.0::0.9708535556423978,#H3:0.0::0.3392979033142939):0.0008053036089910206,((neanderthal_west:0.00028497175156092837,(neanderthal_east:1.6375476917259178e-19,#H2:0.0::0.029146444357602216):0.0018570718616182467):0.022756498452642968,(denisovan:0.017466882634711155)#H4:0.0::0.59012725630323):0.009684093626598216):0.0027894173954131655,((africa_west:0.004068439378605053,(africa_east:0.0017126196657287912,((non_africa_west:0.00153533027884065,non_africa_east:0.003217967297064679):0.010775011895517161)#H1:0.0::0.6416137072450268):0.004752412818577406):0.001442596363410022)#H3:0.0::0.6607020966857061):0.0005772505626046097,#H4:0.0::0.40987274369677):0.15877685716603);",7.03657425356355,"40e4366dd88fff3c6924481f8e2fdfb0",FALSE,0,0,0.475822858545254,4,4,2,92,49,0.3,10,1e+05,1.25e-07,"fleg","10-0.3-1e+05-1.25e-07-fleg"
"(chimp:0.09986329821915295,(#H2:0.0::0.0,((((((africa_east:0.0011020366805411404,((non_africa_west:0.0008724784112557809,non_africa_east:0.00242015081438502):0.006939197934209406)#H1:0.0::0.6144204972239672):0.003920298928918483,africa_west:0.0029040430968870156):0.00081441676480112)#H2:0.0::1.0,(#H1:0.0::0.3855795027760328)#H3:0.0::0.95425255154114):0.0011393010010908265,(#H4:0.0::0.2695292809652471,(neanderthal_west:0.00015525642816667873,(#H3:0.0::0.04574744845886003,neanderthal_east:0.0019219099046273746):0.0):0.014545589698217261):0.01303213686977328):0.0008730088473233173,(denisovan:0.014641138637049272)#H4:0.0::0.7304707190347529):0.09986329821909075):0.09986329821915227);",30.0631383077125,"b66401d14d13e41dfd92363767147547",FALSE,0,0,3.75615777852306,4,4,2,20,32,0.5,10,1e+05,1.25e-07,"fleg","10-0.5-1e+05-1.25e-07-fleg"
"(chimp:0.25679354174614627,((((non_africa_east:0.0850958680837509,non_africa_west:0.08478069579383704):0.010938501294535686)#H2:0.0::0.8218959870368345,#H3:0.0::0.2217833755640889):0.022170049863123993,((((africa_west:0.10430381782807166,(africa_east:0.05248104483875072,(#H2:0.0::0.17810401296316547)#H1:0.0::0.6465918802373861):0.05568191972798478):0.00262070224400827)#H3:0.0::0.7782166244359111,((neanderthal_west:0.04222926244450116,(neanderthal_east:0.03909518244288363,#H1:0.0::0.3534081197626139):0.005895009179425316):0.026144672646302512,#H4:0.0::0.3218033065304531):0.03566621138105206):0.003198582109806109,(denisovan:0.1041917139835796)#H4:0.0::0.6781966934695469):2.5972642729148634e-6):0.256793541745732);",8.14204758382099,"8adeeeedc12be1960f49485bbe86099c",FALSE,0,0,0.376349715658797,4,4,2,35,9,0,1,1e+05,1.25e-08,"fleg","1-0-1e+05-1.25e-08-fleg"
"(chimp:0.24276399166000098,(((africa_west:0.09525418139470226,(#H2:0.0::0.49375177707679885,africa_east:0.09982176646417652):0.012161213538303397):0.0037141183319013135)#H1:0.0::0.7004201473370937,(((#H1:0.0::0.29957985266290627,(((non_africa_west:0.08933823359731247,non_africa_east:0.09649683441820807):0.017798628475126185)#H3:0.0::0.9902654738061106)#H2:0.0::0.5062482229232012):0.008970023867501281,(#H4:0.0::0.4152751053833188,(neanderthal_west:0.04702232099752021,(neanderthal_east:0.022184014197641,#H3:0.0::0.00973452619388937):0.021725498308859875):0.03626966950232835):0.025138177406494884):0.005561198738992524,(denisovan:0.10512062639883124)#H4:0.0::0.5847248946166812):1.2856067412054876e-5):0.2427639916599608);",7.80283084224668,"b6846e5befa755dba55317b77eeb409d",FALSE,0,0,0.0482902802149416,4,4,2,94,45,0.15,1,1e+05,1.25e-08,"fleg","1-0.15-1e+05-1.25e-08-fleg"
"(((((africa_west:0.003879261267902307,((((non_africa_east:0.0033157178491234757,non_africa_west:0.0011634046006290617):0.010072125733500428)#H1:0.0::0.980234616630159)#H2:0.0::0.6463133033343188,africa_east:0.0017303266276540873):0.004910458415437551):0.0016849875031025874)#H4:0.0::0.6230783818526153,((#H4:0.0::0.3769216181473846,#H2:0.0::0.3536866966656812):0.0019295348334415936,((neanderthal_west:0.0001645187873915741,(neanderthal_east:0.0,#H1:0.0::0.019765383369841037):0.0018734419405209955):0.024629067235299864,(denisovan:0.01724881185949877)#H3:0.0::0.6442042552008389):0.009378310399263108):0.0015182655803649722):0.0017285608008302776,#H3:0.0::0.35579574479916104):0.13785631244844554,chimp:0.1378563124484461);",9.90949245703381,"fbdd199eafbcfcee4cc451783c727dbf",FALSE,0,0,1.2805015306539,4,4,2,3,10,0,10,1e+05,1.25e-08,"fleg","10-0-1e+05-1.25e-08-fleg"
"((((#H1:0.0::0.12903240413898215,#H2:0.0::0.33223559909337297):0.003264171491188317,(((africa_west:0.003878161610492796,((((non_africa_east:0.0033153190429465167,non_africa_west:0.0011628484763852244):0.009941033499694185)#H3:0.0::0.9744292430842701)#H2:0.0::0.667764400906627,africa_east:0.0018591063076009678):0.004779745148122619):0.0016338769778259789)#H1:0.0::0.8709675958610179,((neanderthal_west:0.00016195086154813414,(neanderthal_east:1.2496555749276836e-20,#H3:0.0::0.02557075691572982):0.0018762173117182405):0.028261645686251512,(denisovan:0.01518806364659875)#H4:0.0::0.9924647275980943):0.006596899730955985):0.0):0.09255000161070674,#H4:0.0::0.007535272401905704):0.09291493114943457,chimp:0.09291493114943478);",10.2751306903557,"38118a62079e2df765d364ece9187923",FALSE,0,2,0.91486329733196,4,4,2,3,10,0,10,1e+05,1.25e-08,"fleg","10-0-1e+05-1.25e-08-fleg"
"(chimp:0.06992235444215875,((((((((((non_africa_east:0.00304785389096815,non_africa_west:0.001393837374910661):0.009850641673114674)#H4:0.0::0.9797299089973317)#H3:0.0::0.7423334872933287,africa_east:0.002266289167744047):0.004326818436567612,africa_west:0.0039365338674664015):0.0022004615534077913)#H2:0.0::1.0,#H3:0.0::0.25766651270667135):4.454582614739917e-6,((denisovan:0.014963843728038061)#H1:0.0::0.990801085547633,(neanderthal_west:0.0003100446973329961,(#H4:0.0::0.020270091002668293,neanderthal_east:9.434226830955864e-5):0.0016605180709050385):0.02758944900171331):0.006257127773337161):0.06954623229018944,#H1:0.0::0.009198914452366966):0.0699223544421562,#H2:0.0::0.0):0.06992235444215508);",5.4254546322793,"b6846e5befa755dba55317b77eeb409d",FALSE,0,2,1.06548211754693,4,4,2,7,12,0,10,1e+05,1.25e-08,"fleg","10-0-1e+05-1.25e-08-fleg"
"(chimp:0.13854906183167787,((((africa_west:0.0038040111544940755,(((non_africa_west:0.0013349115534685065,non_africa_east:0.002948178935205528):0.0099631489366678)#H4:0.0::0.6406007442971499,africa_east:0.001856665714474493):0.004692936979643225):0.0014504761455887184)#H3:0.0::0.6810945519804047,((((neanderthal_east:0.0,#H2:0.0::0.06375083254034908):0.002003557298854272,neanderthal_west:7.753909147415395e-5):0.013769198955205704,#H1:0.0::0.3361433531373308):0.02104313382389241,((#H4:0.0::0.35939925570285014)#H2:0.0::0.9362491674596509,#H3:0.0::0.3189054480195953):0.0005442087354856262):6.623940495251344e-7):0.001437716553370884,(denisovan:0.019322511932891317)#H1:0.0::0.6638566468626692):0.13854906183167465);",7.26321536441606,"40e4366dd88fff3c6924481f8e2fdfb0",FALSE,0,0,0.348673584365866,4,4,2,31,43,0,10,1e+05,1.25e-08,"fleg","10-0-1e+05-1.25e-08-fleg"
