"irep","paramid","h_search","lindist","nind","net","mutrate","nbiallelic","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
1,"10-0.15-10000-1.25e-07-fleg",4,0.15,10,"fleg",1.25e-07,10000,7484,4,FALSE,0,2,0.720203099946553,4.98845893025593
1,"10-0.15-10000-1.25e-08-fleg",0,0.15,10,"fleg",1.25e-08,10000,5,12,FALSE,0,1,0.4,-27.8087993014606
1,"10-0.15-10000-1.25e-08-fleg",1,0.15,10,"fleg",1.25e-08,10000,29,6,FALSE,0,2,0.655172413793103,-7.66661913083479
1,"10-0.15-10000-1.25e-08-fleg",4,0.15,10,"fleg",1.25e-08,10000,2798,4,FALSE,0,2,0.678341672623302,7.15689786427389
1,"10-0.15-1e+05-1.25e-07-fleg",0,0.15,10,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-80.8582867787714
1,"10-0.15-1e+05-1.25e-07-fleg",1,0.15,10,"fleg",1.25e-07,1e+05,5,6,FALSE,2,1,1,-9.78692805661864
1,"10-0.15-1e+05-1.25e-07-fleg",4,0.15,10,"fleg",1.25e-07,1e+05,2444,4,FALSE,0,2,1.02414075286416,4.82305472502103
1,"10-0.15-1e+05-1.25e-08-fleg",0,0.15,10,"fleg",1.25e-08,1e+05,5,12,FALSE,0,1,0.4,-89.8364162979139
1,"10-0.15-1e+05-1.25e-08-fleg",1,0.15,10,"fleg",1.25e-08,1e+05,5,6,FALSE,2,1,1,-4.4060345554821
1,"10-0.15-1e+05-1.25e-08-fleg",4,0.15,10,"fleg",1.25e-08,1e+05,3270,6,FALSE,0,2,0.908256880733945,4.00716426099874
1,"10-0.3-10000-1.25e-07-fleg",0,0.3,10,"fleg",1.25e-07,10000,5,12,FALSE,0,1,0.4,-1.15598455338277
1,"10-0.3-10000-1.25e-07-fleg",1,0.3,10,"fleg",1.25e-07,10000,288,6,FALSE,0,2,0.399305555555556,3.11706397784974
1,"10-0.3-10000-1.25e-07-fleg",4,0.3,10,"fleg",1.25e-07,10000,4879,6,FALSE,0,2,0.505431440869031,13.9125056236481
1,"10-0.3-10000-1.25e-08-fleg",0,0.3,10,"fleg",1.25e-08,10000,5,12,FALSE,0,1,0.4,-8.40988448281647
1,"10-0.3-10000-1.25e-08-fleg",1,0.3,10,"fleg",1.25e-08,10000,123,6,FALSE,0,2,0.894308943089431,0.127512049866219
1,"10-0.3-10000-1.25e-08-fleg",4,0.3,10,"fleg",1.25e-08,10000,6655,4,FALSE,0,2,0.675432006010518,7.13633647965639
1,"10-0.3-1e+05-1.25e-07-fleg",0,0.3,10,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-109.230139108918
1,"10-0.3-1e+05-1.25e-07-fleg",1,0.3,10,"fleg",1.25e-07,1e+05,10,8,FALSE,2,1,0.6,-28.8463804450123
1,"10-0.3-1e+05-1.25e-07-fleg",4,0.3,10,"fleg",1.25e-07,1e+05,1965,4,FALSE,0,2,0.66972010178117,10.0926585641008
1,"10-0.3-1e+05-1.25e-08-fleg",0,0.3,10,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-105.396085921967
1,"10-0.3-1e+05-1.25e-08-fleg",1,0.3,10,"fleg",1.25e-08,1e+05,5,6,FALSE,2,1,1,-14.6198473065683
1,"10-0.3-1e+05-1.25e-08-fleg",4,0.3,10,"fleg",1.25e-08,1e+05,2165,4,FALSE,0,2,1.04711316397229,5.25513257986525
1,"10-0.5-10000-1.25e-07-fleg",0,0.5,10,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-19.2755480010673
1,"10-0.5-10000-1.25e-07-fleg",1,0.5,10,"fleg",1.25e-07,10000,42,6,FALSE,0,2,0.833333333333333,-6.52525491790729
1,"10-0.5-10000-1.25e-07-fleg",4,0.5,10,"fleg",1.25e-07,10000,5477,4,FALSE,0,2,0.864341792952346,4.00690332576783
1,"10-0.5-10000-1.25e-08-fleg",0,0.5,10,"fleg",1.25e-08,10000,5,12,FALSE,0,1,0.4,-4.56656175625093
1,"10-0.5-10000-1.25e-08-fleg",1,0.5,10,"fleg",1.25e-08,10000,169,6,FALSE,0,2,0.633136094674556,2.96013402506542
1,"10-0.5-10000-1.25e-08-fleg",4,0.5,10,"fleg",1.25e-08,10000,6884,4,FALSE,0,2,0.614177803602557,9.41201039308566
1,"10-0.5-1e+05-1.25e-07-fleg",0,0.5,10,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-101.348455535533
1,"10-0.5-1e+05-1.25e-07-fleg",1,0.5,10,"fleg",1.25e-07,1e+05,10,8,FALSE,2,1,0.6,-18.1925781594211
1,"10-0.5-1e+05-1.25e-07-fleg",4,0.5,10,"fleg",1.25e-07,1e+05,330,4,FALSE,0,2,0.996969696969697,29.1107355082752
1,"10-0.5-1e+05-1.25e-08-fleg",0,0.5,10,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-76.6183572967728
1,"10-0.5-1e+05-1.25e-08-fleg",1,0.5,10,"fleg",1.25e-08,1e+05,6,6,FALSE,2,1,1,-4.59637658184097
1,"10-0.5-1e+05-1.25e-08-fleg",4,0.5,10,"fleg",1.25e-08,1e+05,2288,4,FALSE,0,2,1.15777972027972,13.3049128319739
1,"10-0.7-10000-1.25e-07-fleg",0,0.7,10,"fleg",1.25e-07,10000,5,12,FALSE,0,1,0.4,-2.15749854535558
1,"10-0.7-10000-1.25e-07-fleg",1,0.7,10,"fleg",1.25e-07,10000,291,6,FALSE,0,2,0.333333333333333,5.70139064577563
1,"10-0.7-10000-1.25e-07-fleg",4,0.7,10,"fleg",1.25e-07,10000,9347,8,FALSE,0,2,0.233015940943618,13.6712935187425
1,"10-0.7-10000-1.25e-08-fleg",0,0.7,10,"fleg",1.25e-08,10000,5,12,FALSE,0,1,0.4,-9.10929493730139
1,"10-0.7-10000-1.25e-08-fleg",1,0.7,10,"fleg",1.25e-08,10000,142,6,FALSE,0,2,0.767605633802817,-0.802778202221093
1,"10-0.7-10000-1.25e-08-fleg",4,0.7,10,"fleg",1.25e-08,10000,3983,4,FALSE,0,2,0.814712528245041,12.5893737164694
1,"10-0.7-1e+05-1.25e-07-fleg",0,0.7,10,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-109.356891533546
1,"10-0.7-1e+05-1.25e-07-fleg",1,0.7,10,"fleg",1.25e-07,1e+05,10,8,FALSE,2,1,0.6,-29.5308148730045
1,"10-0.7-1e+05-1.25e-07-fleg",4,0.7,10,"fleg",1.25e-07,1e+05,2062,4,FALSE,0,2,0.814742967992241,10.2055424102801
1,"10-0.7-1e+05-1.25e-08-fleg",0,0.7,10,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-66.9797043284149
1,"10-0.7-1e+05-1.25e-08-fleg",1,0.7,10,"fleg",1.25e-08,1e+05,5,6,FALSE,2,1,1,1.52582666816627
1,"10-0.7-1e+05-1.25e-08-fleg",4,0.7,10,"fleg",1.25e-08,1e+05,2263,4,FALSE,0,2,0.910296067167477,14.6814741588325
1,"2-0-10000-1.25e-07-fleg",0,0,2,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-4.33443215375387
1,"2-0-10000-1.25e-07-fleg",1,0,2,"fleg",1.25e-07,10000,349,6,FALSE,0,2,0.292263610315186,2.86430882903232
1,"2-0-10000-1.25e-07-fleg",4,0,2,"fleg",1.25e-07,10000,6894,4,FALSE,0,2,0.312735712213519,12.02568001305
1,"2-0-10000-1.25e-08-fleg",0,0,2,"fleg",1.25e-08,10000,5,12,FALSE,2,1,0.2,-8.60178592030952
1,"2-0-10000-1.25e-08-fleg",1,0,2,"fleg",1.25e-08,10000,146,6,FALSE,0,2,0.808219178082192,-1.22669730101931
1,"2-0-10000-1.25e-08-fleg",4,0,2,"fleg",1.25e-08,10000,6140,6,FALSE,0,2,0.527035830618892,7.67038164323693
1,"2-0-1e+05-1.25e-07-fleg",0,0,2,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-65.0236138552568
1,"2-0-1e+05-1.25e-07-fleg",1,0,2,"fleg",1.25e-07,1e+05,5,6,FALSE,2,1,1,-0.624749966533927
1,"2-0-1e+05-1.25e-07-fleg",4,0,2,"fleg",1.25e-07,1e+05,4649,4,FALSE,0,2,1.01677780167778,2.21482123216702
1,"2-0-1e+05-1.25e-08-fleg",0,0,2,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-52.5537274698811
1,"2-0-1e+05-1.25e-08-fleg",1,0,2,"fleg",1.25e-08,1e+05,6,6,FALSE,2,1,1,-14.7331997881085
1,"2-0-1e+05-1.25e-08-fleg",4,0,2,"fleg",1.25e-08,1e+05,2688,4,FALSE,0,2,1.21279761904762,5.79385622384083
1,"2-0.15-10000-1.25e-07-fleg",0,0.15,2,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-10.1119938284147
1,"2-0.15-10000-1.25e-07-fleg",1,0.15,2,"fleg",1.25e-07,10000,147,6,FALSE,0,2,0.795918367346939,-2.81471094823913
1,"2-0.15-10000-1.25e-07-fleg",4,0.15,2,"fleg",1.25e-07,10000,4955,4,FALSE,0,2,0.745711402623612,7.85978878583622
1,"2-0.15-10000-1.25e-08-fleg",0,0.15,2,"fleg",1.25e-08,10000,5,12,FALSE,2,1,0.2,-2.61364510154858
1,"2-0.15-10000-1.25e-08-fleg",1,0.15,2,"fleg",1.25e-08,10000,320,6,FALSE,0,2,0.371875,-0.733203090972148
1,"2-0.15-10000-1.25e-08-fleg",4,0.15,2,"fleg",1.25e-08,10000,9518,6,FALSE,0,2,0.514078587938643,3.33808708859379
1,"2-0.15-1e+05-1.25e-07-fleg",0,0.15,2,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-79.9756971453267
1,"2-0.15-1e+05-1.25e-07-fleg",1,0.15,2,"fleg",1.25e-07,1e+05,15,6,FALSE,0,2,1.2,-32.2665399090541
1,"2-0.15-1e+05-1.25e-07-fleg",4,0.15,2,"fleg",1.25e-07,1e+05,1381,4,FALSE,0,2,0.598117306299783,12.1359700670718
1,"2-0.15-1e+05-1.25e-08-fleg",0,0.15,2,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-84.9907842585085
1,"2-0.15-1e+05-1.25e-08-fleg",1,0.15,2,"fleg",1.25e-08,1e+05,6,6,FALSE,2,1,1,-15.8065123051936
1,"2-0.15-1e+05-1.25e-08-fleg",4,0.15,2,"fleg",1.25e-08,1e+05,2082,6,FALSE,0,2,0.66090297790586,7.23959449268261
1,"2-0.3-10000-1.25e-07-fleg",0,0.3,2,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-4.54993028269577
1,"2-0.3-10000-1.25e-07-fleg",1,0.3,2,"fleg",1.25e-07,10000,300,6,FALSE,0,2,0.366666666666667,0.455411685737088
1,"2-0.3-10000-1.25e-07-fleg",4,0.3,2,"fleg",1.25e-07,10000,6802,6,FALSE,0,2,0.832402234636871,8.00195156921917
1,"2-0.3-10000-1.25e-08-fleg",0,0.3,2,"fleg",1.25e-08,10000,5,12,FALSE,2,1,0.2,-8.18171233862416
1,"2-0.3-10000-1.25e-08-fleg",1,0.3,2,"fleg",1.25e-08,10000,131,6,FALSE,0,2,0.885496183206107,-1.10630654576472
1,"2-0.3-10000-1.25e-08-fleg",4,0.3,2,"fleg",1.25e-08,10000,7445,4,FALSE,0,2,0.770315648085964,4.99434272368356
1,"2-0.3-1e+05-1.25e-07-fleg",0,0.3,2,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-43.2120800505629
1,"2-0.3-1e+05-1.25e-07-fleg",1,0.3,2,"fleg",1.25e-07,1e+05,9,6,FALSE,2,1,1,-4.96753533727894
1,"2-0.3-1e+05-1.25e-07-fleg",4,0.3,2,"fleg",1.25e-07,1e+05,3162,4,FALSE,0,2,0.88045540796964,5.8708735595087
1,"2-0.3-1e+05-1.25e-08-fleg",0,0.3,2,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-64.8503341227979
1,"2-0.3-1e+05-1.25e-08-fleg",1,0.3,2,"fleg",1.25e-08,1e+05,6,6,FALSE,2,1,1,-6.76057644058241
1,"2-0.3-1e+05-1.25e-08-fleg",4,0.3,2,"fleg",1.25e-08,1e+05,3378,4,FALSE,0,2,0.5198342214328,8.27220510757913
1,"2-0.5-10000-1.25e-07-fleg",0,0.5,2,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-23.1961325765649
1,"2-0.5-10000-1.25e-07-fleg",1,0.5,2,"fleg",1.25e-07,10000,22,6,FALSE,0,1,0.727272727272727,-2.93969853677036
1,"2-0.5-10000-1.25e-07-fleg",4,0.5,2,"fleg",1.25e-07,10000,1940,6,FALSE,0,2,0.417525773195876,13.4865973157813
1,"2-0.5-10000-1.25e-08-fleg",0,0.5,2,"fleg",1.25e-08,10000,5,12,FALSE,2,1,0.2,-6.7846089253982
1,"2-0.5-10000-1.25e-08-fleg",1,0.5,2,"fleg",1.25e-08,10000,308,6,FALSE,0,2,0.37012987012987,-0.293710667136817
1,"2-0.5-10000-1.25e-08-fleg",4,0.5,2,"fleg",1.25e-08,10000,8647,2,FALSE,0,2,0.653058864346016,3.32278821595936
1,"2-0.5-1e+05-1.25e-07-fleg",0,0.5,2,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-74.7655239959585
1,"2-0.5-1e+05-1.25e-07-fleg",1,0.5,2,"fleg",1.25e-07,1e+05,7,6,FALSE,2,1,0.857142857142857,-19.3279243110249
1,"2-0.5-1e+05-1.25e-07-fleg",4,0.5,2,"fleg",1.25e-07,1e+05,5,20,FALSE,4,0,0,140.307272002614
1,"2-0.5-1e+05-1.25e-08-fleg",0,0.5,2,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-55.943756045028
1,"2-0.5-1e+05-1.25e-08-fleg",1,0.5,2,"fleg",1.25e-08,1e+05,6,6,FALSE,2,1,1,-8.94786265478834
1,"2-0.5-1e+05-1.25e-08-fleg",4,0.5,2,"fleg",1.25e-08,1e+05,3469,4,FALSE,0,2,1.12827904295186,6.57180889553424
1,"2-0.7-10000-1.25e-07-fleg",0,0.7,2,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-4.84672587335831
1,"2-0.7-10000-1.25e-07-fleg",1,0.7,2,"fleg",1.25e-07,10000,60,6,FALSE,2,1,0.333333333333333,8.25659586367992
1,"2-0.7-10000-1.25e-07-fleg",4,0.7,2,"fleg",1.25e-07,10000,3161,4,FALSE,0,2,0.42866181588105,20.5788893538679
1,"2-0.7-10000-1.25e-08-fleg",0,0.7,2,"fleg",1.25e-08,10000,5,12,FALSE,0,1,0.4,-10.8310029704648
1,"2-0.7-10000-1.25e-08-fleg",1,0.7,2,"fleg",1.25e-08,10000,42,6,FALSE,2,1,0.547619047619048,1.09449014418744
1,"2-0.7-10000-1.25e-08-fleg",4,0.7,2,"fleg",1.25e-08,10000,6410,6,FALSE,0,2,0.335569422776911,8.72357726709097
1,"2-0.7-1e+05-1.25e-07-fleg",0,0.7,2,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-59.5744853537996
1,"2-0.7-1e+05-1.25e-07-fleg",1,0.7,2,"fleg",1.25e-07,1e+05,5,14,FALSE,2,1,0.6,66.7620375330844
1,"2-0.7-1e+05-1.25e-07-fleg",4,0.7,2,"fleg",1.25e-07,1e+05,696,8,FALSE,0,2,1.01436781609195,96.4150113029145
1,"2-0.7-1e+05-1.25e-08-fleg",0,0.7,2,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-52.2186970358921
1,"2-0.7-1e+05-1.25e-08-fleg",1,0.7,2,"fleg",1.25e-08,1e+05,16,6,FALSE,0,2,1.1875,-18.6245940073373
1,"2-0.7-1e+05-1.25e-08-fleg",4,0.7,2,"fleg",1.25e-08,1e+05,2125,4,FALSE,0,2,1.08705882352941,5.73023176889035
2,"1-0-10000-1.25e-07-fleg",0,0,1,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-11.4209392651896
2,"1-0-10000-1.25e-07-fleg",1,0,1,"fleg",1.25e-07,10000,182,6,FALSE,0,2,0.247252747252747,-1.91802367857112
2,"1-0-10000-1.25e-07-fleg",4,0,1,"fleg",1.25e-07,10000,3061,6,FALSE,0,2,0.332244364586736,12.3003289400557
