"irep","paramid","h_search","lindist","nind","net","mutrate","nbiallelic","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
41,"2-0.3-10000-1.25e-08-fleg-pruned",0,0.3,2,"fleg-pruned",1.25e-08,10000,5,2,FALSE,0,1,0.4,0.228034652202659
41,"2-0.3-10000-1.25e-08-fleg-pruned",1,0.3,2,"fleg-pruned",1.25e-08,10000,307,0,TRUE,0,2,0.381107491856678,4.45182564527663
41,"2-0.3-10000-1.25e-08-fleg-pruned",2,0.3,2,"fleg-pruned",1.25e-08,10000,3386,2,FALSE,0,2,0.49645599527466,7.17413249215428
41,"2-0.3-10000-1.25e-08-fleg-pruned",3,0.3,2,"fleg-pruned",1.25e-08,10000,6386,4,FALSE,0,2,0.549953022236142,11.7459772526955
41,"2-0.3-10000-1.25e-08-fleg-pruned",4,0.3,2,"fleg-pruned",1.25e-08,10000,4790,4,FALSE,0,2,0.465970772442589,15.5817605993414
41,"2-0.3-1e+05-1.25e-07-fleg-pruned",0,0.3,2,"fleg-pruned",1.25e-07,1e+05,5,2,FALSE,0,1,0.4,-6.00912030538237
41,"2-0.3-1e+05-1.25e-07-fleg-pruned",1,0.3,2,"fleg-pruned",1.25e-07,1e+05,10,2,FALSE,2,1,0.7,24.0258465400029
41,"2-0.3-1e+05-1.25e-07-fleg-pruned",2,0.3,2,"fleg-pruned",1.25e-07,1e+05,685,2,FALSE,0,2,0.741605839416058,29.7778497086086
41,"2-0.3-1e+05-1.25e-07-fleg-pruned",3,0.3,2,"fleg-pruned",1.25e-07,1e+05,1874,4,FALSE,0,2,0.811632870864461,33.3204435053984
41,"2-0.3-1e+05-1.25e-07-fleg-pruned",4,0.3,2,"fleg-pruned",1.25e-07,1e+05,3633,6,FALSE,0,2,0.796036333608588,34.8479248288078
41,"2-0.3-1e+05-1.25e-08-fleg-pruned",0,0.3,2,"fleg-pruned",1.25e-08,1e+05,5,2,FALSE,0,1,0.4,-7.84977359766727
41,"2-0.3-1e+05-1.25e-08-fleg-pruned",1,0.3,2,"fleg-pruned",1.25e-08,1e+05,121,0,TRUE,0,2,0.942148760330578,1.04739076961812
41,"2-0.3-1e+05-1.25e-08-fleg-pruned",2,0.3,2,"fleg-pruned",1.25e-08,1e+05,546,0,TRUE,0,2,1.1025641025641,7.31655124516077
41,"2-0.3-1e+05-1.25e-08-fleg-pruned",3,0.3,2,"fleg-pruned",1.25e-08,1e+05,3082,4,FALSE,0,2,1.00162232316677,9.30661023314603
41,"2-0.3-1e+05-1.25e-08-fleg-pruned",4,0.3,2,"fleg-pruned",1.25e-08,1e+05,3907,6,FALSE,0,2,0.987970309700537,11.8757665197788
41,"2-0.5-10000-1.25e-07-fleg-pruned",0,0.5,2,"fleg-pruned",1.25e-07,10000,5,2,FALSE,2,1,0.2,-3.19922493375049
41,"2-0.5-10000-1.25e-07-fleg-pruned",1,0.5,2,"fleg-pruned",1.25e-07,10000,131,0,TRUE,0,2,0.870229007633588,1.08677062799249
41,"2-0.5-10000-1.25e-07-fleg-pruned",2,0.5,2,"fleg-pruned",1.25e-07,10000,250,2,FALSE,0,2,1.1,11.6266851026442
41,"2-0.5-10000-1.25e-07-fleg-pruned",3,0.5,2,"fleg-pruned",1.25e-07,10000,695,4,FALSE,0,2,1.3568345323741,15.7440032696591
41,"2-0.5-10000-1.25e-07-fleg-pruned",4,0.5,2,"fleg-pruned",1.25e-07,10000,2175,6,FALSE,0,2,1.23218390804598,17.0013436754224
41,"2-0.5-10000-1.25e-08-fleg-pruned",0,0.5,2,"fleg-pruned",1.25e-08,10000,5,2,FALSE,0,1,0.4,-0.00538069472532321
41,"2-0.5-10000-1.25e-08-fleg-pruned",1,0.5,2,"fleg-pruned",1.25e-08,10000,138,0,TRUE,0,2,0.847826086956522,2.72263748026262
41,"2-0.5-10000-1.25e-08-fleg-pruned",2,0.5,2,"fleg-pruned",1.25e-08,10000,2359,2,FALSE,0,2,0.859686307757524,4.97986550112214
41,"2-0.5-10000-1.25e-08-fleg-pruned",3,0.5,2,"fleg-pruned",1.25e-08,10000,6482,4,FALSE,0,2,0.803609996914532,6.48870185550718
41,"2-0.5-10000-1.25e-08-fleg-pruned",4,0.5,2,"fleg-pruned",1.25e-08,10000,8270,2,FALSE,0,2,0.755985489721886,8.92283676170076
41,"2-0.5-1e+05-1.25e-07-fleg-pruned",0,0.5,2,"fleg-pruned",1.25e-07,1e+05,5,2,FALSE,0,1,0.4,0.305062232558413
41,"2-0.5-1e+05-1.25e-07-fleg-pruned",1,0.5,2,"fleg-pruned",1.25e-07,1e+05,124,0,TRUE,0,2,0.943548387096774,6.88902816078532
41,"2-0.5-1e+05-1.25e-07-fleg-pruned",2,0.5,2,"fleg-pruned",1.25e-07,1e+05,610,2,FALSE,0,2,0.878688524590164,12.5592181702497
41,"2-0.5-1e+05-1.25e-07-fleg-pruned",3,0.5,2,"fleg-pruned",1.25e-07,1e+05,3228,2,FALSE,0,2,0.857806691449814,14.7981980077566
41,"2-0.5-1e+05-1.25e-07-fleg-pruned",4,0.5,2,"fleg-pruned",1.25e-07,1e+05,2613,6,FALSE,0,2,0.605817068503636,18.4175061077008
41,"2-0.5-1e+05-1.25e-08-fleg-pruned",0,0.5,2,"fleg-pruned",1.25e-08,1e+05,5,2,FALSE,0,1,0.4,-90.3256960102436
41,"2-0.5-1e+05-1.25e-08-fleg-pruned",1,0.5,2,"fleg-pruned",1.25e-08,1e+05,9,0,TRUE,0,2,1.33333333333333,0.418114685200408
41,"2-0.5-1e+05-1.25e-08-fleg-pruned",2,0.5,2,"fleg-pruned",1.25e-08,1e+05,735,2,TRUE,0,2,1.26666666666667,5.67077875393925
41,"2-0.5-1e+05-1.25e-08-fleg-pruned",3,0.5,2,"fleg-pruned",1.25e-08,1e+05,3240,2,FALSE,0,2,1.10802469135802,9.13044023739104
41,"2-0.5-1e+05-1.25e-08-fleg-pruned",4,0.5,2,"fleg-pruned",1.25e-08,1e+05,5682,2,FALSE,0,2,1.13217177050334,11.1581620377567
41,"2-0.7-10000-1.25e-07-fleg-pruned",0,0.7,2,"fleg-pruned",1.25e-07,10000,5,2,FALSE,2,1,0.2,-1.91455210326747
41,"2-0.7-10000-1.25e-07-fleg-pruned",1,0.7,2,"fleg-pruned",1.25e-07,10000,57,0,TRUE,0,2,0.491228070175439,9.41579267514007
41,"2-0.7-10000-1.25e-07-fleg-pruned",2,0.7,2,"fleg-pruned",1.25e-07,10000,393,2,FALSE,0,2,0.404580152671756,15.9257066604217
41,"2-0.7-10000-1.25e-07-fleg-pruned",3,0.7,2,"fleg-pruned",1.25e-07,10000,1895,4,FALSE,0,2,0.311345646437995,18.815086662317
41,"2-0.7-10000-1.25e-07-fleg-pruned",4,0.7,2,"fleg-pruned",1.25e-07,10000,2845,6,FALSE,0,2,0.43585237258348,22.7656389546493
41,"2-0.7-10000-1.25e-08-fleg-pruned",0,0.7,2,"fleg-pruned",1.25e-08,10000,5,2,FALSE,0,1,0.4,0.089394616335178
41,"2-0.7-10000-1.25e-08-fleg-pruned",1,0.7,2,"fleg-pruned",1.25e-08,10000,127,0,TRUE,0,2,0.874015748031496,2.72109734593649
41,"2-0.7-10000-1.25e-08-fleg-pruned",2,0.7,2,"fleg-pruned",1.25e-08,10000,2685,2,FALSE,0,2,0.77243947858473,4.05921794179186
41,"2-0.7-10000-1.25e-08-fleg-pruned",3,0.7,2,"fleg-pruned",1.25e-08,10000,6967,2,FALSE,0,2,0.693985933687383,5.50020257377361
41,"2-0.7-10000-1.25e-08-fleg-pruned",4,0.7,2,"fleg-pruned",1.25e-08,10000,9357,2,FALSE,0,2,0.65683445548787,6.32246211372325
41,"2-0.7-1e+05-1.25e-07-fleg-pruned",0,0.7,2,"fleg-pruned",1.25e-07,1e+05,5,2,FALSE,0,1,0.4,0.29659167937227
41,"2-0.7-1e+05-1.25e-07-fleg-pruned",1,0.7,2,"fleg-pruned",1.25e-07,1e+05,15,2,FALSE,2,1,0.933333333333333,11.6737941179562
41,"2-0.7-1e+05-1.25e-07-fleg-pruned",2,0.7,2,"fleg-pruned",1.25e-07,1e+05,178,2,FALSE,0,2,0.904494382022472,15.8040974823199
41,"2-0.7-1e+05-1.25e-07-fleg-pruned",3,0.7,2,"fleg-pruned",1.25e-07,1e+05,1087,4,FALSE,0,2,0.862925482980681,20.1976968414816
41,"2-0.7-1e+05-1.25e-07-fleg-pruned",4,0.7,2,"fleg-pruned",1.25e-07,1e+05,2186,4,FALSE,0,2,0.829826166514181,23.9934416363886
41,"2-0.7-1e+05-1.25e-08-fleg-pruned",0,0.7,2,"fleg-pruned",1.25e-08,1e+05,5,2,FALSE,2,1,0.2,-22.1657449894954
41,"2-0.7-1e+05-1.25e-08-fleg-pruned",1,0.7,2,"fleg-pruned",1.25e-08,1e+05,9,0,TRUE,0,2,1.33333333333333,1.1850938684064
41,"2-0.7-1e+05-1.25e-08-fleg-pruned",2,0.7,2,"fleg-pruned",1.25e-08,1e+05,603,0,TRUE,0,2,1.23051409618574,6.67327733326399
41,"2-0.7-1e+05-1.25e-08-fleg-pruned",3,0.7,2,"fleg-pruned",1.25e-08,1e+05,2680,4,FALSE,0,2,1.23880597014925,8.61191378853916
41,"2-0.7-1e+05-1.25e-08-fleg-pruned",4,0.7,2,"fleg-pruned",1.25e-08,1e+05,4424,6,FALSE,0,2,1.1118896925859,10.656508732802
42,"1-0-10000-1.25e-07-fleg-pruned",0,0,1,"fleg-pruned",1.25e-07,10000,5,2,FALSE,0,1,0.4,-1.83879028620548
42,"1-0-10000-1.25e-07-fleg-pruned",1,0,1,"fleg-pruned",1.25e-07,10000,309,0,TRUE,0,2,0.372168284789644,6.45212441879645
42,"1-0-10000-1.25e-07-fleg-pruned",2,0,1,"fleg-pruned",1.25e-07,10000,879,2,FALSE,0,2,0.678043230944255,13.5412142260744
42,"1-0-10000-1.25e-08-fleg-pruned",0,0,1,"fleg-pruned",1.25e-08,10000,5,2,FALSE,0,1,0.4,-0.598435105848798
