irep,irun,h_search,time
1,9,4,11.84200061559677
1,10,4,110.41217295328777
1,11,4,101.17165028651556
1,12,4,118.8927896340688
1,13,4,84.05636158386866
1,14,4,95.5374207019806
1,15,4,228.96864842971166
1,16,4,69.57780838410059
1,17,4,79.03185295263926
1,18,4,137.54515751600266
1,19,4,179.73857229948044
1,20,4,203.80534278154374
1,21,4,95.74869128068288
1,22,4,117.29806309938431
1,23,4,132.36742728153865
1,24,4,116.18309751749038
1,25,4,93.25414393345515
1,26,4,229.53036323388417
1,27,4,150.505533182621
1,28,4,110.01273971796036
1,29,4,108.97674394845963
1,30,4,132.58268864949545
1,31,4,199.90650029977164
1,32,4,103.35407476822535
1,33,4,153.37887063423793
1,34,4,165.6368416150411
1,35,4,96.67217881679535
1,36,4,103.4829439997673
1,37,4,70.20096073548
1,38,4,120.54698050022125
1,39,4,80.68813891410828
1,40,4,57.077526398499806
1,41,4,113.91345108350119
1,42,4,79.10349169969558
1,43,4,129.09998494784037
1,44,4,202.40029788414637
1,45,4,226.8246565302213
1,46,4,337.7239671031634
1,47,4,188.63016796509424
1,48,4,90.06253048181534
1,49,4,217.77976256608963
1,50,4,91.42063229878744
2,1,0,2.7330305298169453
2,2,0,3.2513833324114483
2,3,0,2.232979214191437
2,4,0,3.663852302233378
2,5,0,2.5305272658665974
2,6,0,2.2112881501515704
2,7,0,2.266601252555847
2,8,0,2.4336499134699503
2,9,0,2.350139900048574
2,10,0,2.148946730295817
2,11,0,2.244484567642212
2,12,0,2.7662578344345095
2,13,0,2.5160537997881574
2,14,0,2.634058916568756
2,15,0,2.616979630788167
2,16,0,2.0433574358622235
2,17,0,1.9440629998842875
2,18,0,2.1918687343597414
2,19,0,2.265682085355123
2,20,0,2.479974933465322
2,21,0,2.263717496395111
2,22,0,2.885414131482442
2,23,0,2.849659283955892
2,24,0,2.960648600260417
2,25,0,1.0269570668538412
2,26,0,1.1267103155454
2,27,0,1.5305094838142395
2,28,0,2.14581861893336
2,29,0,2.2207396348317463
2,30,0,2.6179262161254884
2,31,0,2.255366067091624
2,32,0,2.733015600840251
2,33,0,2.2036070346832277
2,34,0,4.003104650974274
2,35,0,1.9043323318163554
2,36,0,1.8023877660433452
2,37,0,2.15286363363266
2,38,0,1.8023012002309164
2,39,0,1.8149376312891643
2,40,0,1.7447083989779155
2,41,0,3.052696879704793
2,42,0,2.9278539498647054
2,43,0,2.441021283467611
2,44,0,2.58356260061264
2,45,0,2.1686787009239197
2,46,0,1.6168853839238484
2,47,0,2.0514465014139813
2,48,0,2.3789899190266928
2,49,0,2.2175105174382526
2,50,0,2.3419183174769085
2,1,1,24.687958069642384
2,2,1,13.142055332660675
2,3,1,19.407647649447124
2,4,1,13.283246115843456
2,5,1,6.372774700323741
2,6,1,10.464164447784423
2,7,1,9.504073667526246
2,8,1,10.970356114705403
2,9,1,7.387499117851258
2,10,1,9.007542618115743
2,11,1,8.182070199648539
2,12,1,12.641647863388062
2,13,1,15.016627049446106
2,14,1,7.8811571518580115
2,15,1,7.483991432189941
2,16,1,7.785561716556549
2,17,1,21.775915213425954
2,18,1,8.241949148972829
2,19,1,8.922117833296458
2,20,1,8.097741401195526
2,21,1,18.940563249588013
2,22,1,10.495224217573801
2,23,1,10.084282318751017
2,24,1,6.638855600357056
2,25,1,7.6470399339993795
2,26,1,15.292819885412852
2,27,1,10.004524767398834
2,28,1,12.750722881158193
2,29,1,15.254498883088429
2,30,1,8.238512480258942
2,31,1,10.598213716348011
2,32,1,10.240163632233937
2,33,1,5.919732817014059
2,34,1,7.4628035505612695
2,35,1,7.74518921772639
2,36,1,14.841139813264212
2,37,1,8.534164532025654
2,38,1,7.228256018956502
2,39,1,12.706061681111654
2,40,1,10.5001731355985
2,41,1,10.6886066198349
2,42,1,7.3448558648427325
2,43,1,7.087982416152954
2,44,1,7.734312963485718
2,45,1,9.66737908522288
2,46,1,13.222324331601461
2,47,1,18.57775971889496
2,48,1,22.432478566964466
2,49,1,8.757840251922607
2,50,1,6.029022967815399
2,1,4,112.20061511596045
2,2,4,201.7605175336202
2,3,4,109.82355481783549
2,4,4,134.93546826839446
2,5,4,151.2090532342593
2,6,4,134.73035128513973
2,7,4,276.9327943166097
2,8,4,170.80564903418224
2,9,4,110.22098463376363
2,10,4,87.56499563455581
2,11,4,25.948987432320912
2,12,4,134.98007331689197
2,13,4,113.26565008163452
2,14,4,157.65530341466268
2,15,4,70.3268106341362
2,16,4,97.81451296806335
2,17,4,112.810042933623
2,18,4,137.6160770177841
2,19,4,149.5200274348259
2,20,4,125.02032591501872
2,21,4,122.71164136727651
2,22,4,154.69741634925205
2,23,4,114.49319535096487
2,24,4,130.25694738229114
2,25,4,127.61959354877472
2,26,4,96.35124638477961
2,27,4,148.77161206801733
2,28,4,200.6996266523997
2,29,4,153.50562194983164
2,30,4,159.7800475517909
2,31,4,139.35129668315253
2,32,4,149.35129463275274
2,33,4,200.84829528331755
2,34,4,182.7589243332545
2,35,4,96.47101724942526
2,36,4,109.39125151634217
2,37,4,100.30352478027343
2,38,4,106.95346638361613
2,39,4,210.01882216533025
2,40,4,175.16779301563898
2,41,4,153.80437154769896
2,42,4,519.811833246549
2,43,4,163.72201186418533
2,44,4,131.51980798244477
2,45,4,102.3096484820048
2,46,4,119.63733309904734
2,47,4,215.011881117026
2,48,4,158.64611211617787
2,49,4,238.18202330271404
2,50,4,130.1063627998034
3,1,0,2.691432003180186
3,2,0,2.801632050673167
3,3,0,1.9371620178222657
