"paramid","h_search","lindist","nind","net","mutrate","nbiallelic","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","ngraphs","prop_max_ndisp_eq_2"
"10-0.5-1e+05-1.25e-07-fleg",1,0.5,10,"fleg",1.25e-07,1e+05,0,0,0.02,617,0.02
"10-0.5-1e+05-1.25e-07-fleg",4,0.5,10,"fleg",1.25e-07,1e+05,0,0,1,143596,0.99
"10-0.5-1e+05-1.25e-08-fleg",0,0.5,10,"fleg",1.25e-08,1e+05,0,0,0.46,500,0
"10-0.5-1e+05-1.25e-08-fleg",1,0.5,10,"fleg",1.25e-08,1e+05,0,0,0,509,0
"10-0.5-1e+05-1.25e-08-fleg",4,0.5,10,"fleg",1.25e-08,1e+05,0.04,0.01,1,208024,1
"10-0.7-10000-1.25e-07-fleg",0,0.7,10,"fleg",1.25e-07,10000,0,0,0.36,500,0
"10-0.7-10000-1.25e-07-fleg",1,0.7,10,"fleg",1.25e-07,10000,0,0,0.59,8556,0.55
"10-0.7-10000-1.25e-07-fleg",4,0.7,10,"fleg",1.25e-07,10000,0,0,1,479873,1
"10-0.7-10000-1.25e-08-fleg",0,0.7,10,"fleg",1.25e-08,10000,0,0,0.5,500,0
"10-0.7-10000-1.25e-08-fleg",1,0.7,10,"fleg",1.25e-08,10000,0,0,0.54,8578,0.52
"10-0.7-10000-1.25e-08-fleg",4,0.7,10,"fleg",1.25e-08,10000,0,0,1,557334,1
"10-0.7-1e+05-1.25e-07-fleg",0,0.7,10,"fleg",1.25e-07,1e+05,0,0,0.31,500,0
"10-0.7-1e+05-1.25e-07-fleg",1,0.7,10,"fleg",1.25e-07,1e+05,0,0,0.04,596,0.04
"10-0.7-1e+05-1.25e-07-fleg",4,0.7,10,"fleg",1.25e-07,1e+05,0,0,0.99,116949,0.99
"10-0.7-1e+05-1.25e-08-fleg",0,0.7,10,"fleg",1.25e-08,1e+05,0,0,0.52,500,0
"10-0.7-1e+05-1.25e-08-fleg",1,0.7,10,"fleg",1.25e-08,1e+05,0,0,0.02,535,0.02
"10-0.7-1e+05-1.25e-08-fleg",4,0.7,10,"fleg",1.25e-08,1e+05,0.02,0,1,203552,1
"2-0-10000-1.25e-07-fleg",0,0,2,"fleg",1.25e-07,10000,0,0,0.04,500,0
"2-0-10000-1.25e-07-fleg",1,0,2,"fleg",1.25e-07,10000,0,0,0.87,15490,0.87
"2-0-10000-1.25e-07-fleg",4,0,2,"fleg",1.25e-07,10000,0,0,1,580052,1
"2-0-10000-1.25e-08-fleg",0,0,2,"fleg",1.25e-08,10000,0,0,0,500,0
"2-0-10000-1.25e-08-fleg",1,0,2,"fleg",1.25e-08,10000,0,0,0.84,15308,0.84
"2-0-10000-1.25e-08-fleg",4,0,2,"fleg",1.25e-08,10000,0,0,1,610070,1
"2-0-1e+05-1.25e-07-fleg",0,0,2,"fleg",1.25e-07,1e+05,0,0,0,500,0
"2-0-1e+05-1.25e-07-fleg",1,0,2,"fleg",1.25e-07,1e+05,0,0,0.05,704,0.05
"2-0-1e+05-1.25e-07-fleg",4,0,2,"fleg",1.25e-07,1e+05,0,0,1,232871,1
"2-0-1e+05-1.25e-08-fleg",0,0,2,"fleg",1.25e-08,1e+05,0,0,0,500,0
"2-0-1e+05-1.25e-08-fleg",1,0,2,"fleg",1.25e-08,1e+05,0,0,0.1,703,0.09
"2-0-1e+05-1.25e-08-fleg",4,0,2,"fleg",1.25e-08,1e+05,0.02,0.01,1,225931,1
"2-0.15-10000-1.25e-07-fleg",0,0.15,2,"fleg",1.25e-07,10000,0,0,0.03,500,0
"2-0.15-10000-1.25e-07-fleg",1,0.15,2,"fleg",1.25e-07,10000,0,0,0.87,14934,0.82
"2-0.15-10000-1.25e-07-fleg",4,0.15,2,"fleg",1.25e-07,10000,0,0,1,581002,1
"2-0.15-10000-1.25e-08-fleg",0,0.15,2,"fleg",1.25e-08,10000,0,0,0.02,500,0
"2-0.15-10000-1.25e-08-fleg",1,0.15,2,"fleg",1.25e-08,10000,0,0,0.89,14986,0.86
"2-0.15-10000-1.25e-08-fleg",4,0.15,2,"fleg",1.25e-08,10000,0.01,0,1,606847,1
"2-0.15-1e+05-1.25e-07-fleg",0,0.15,2,"fleg",1.25e-07,1e+05,0,0,0,500,0
"2-0.15-1e+05-1.25e-07-fleg",1,0.15,2,"fleg",1.25e-07,1e+05,0,0,0.11,733,0.1
"2-0.15-1e+05-1.25e-07-fleg",4,0.15,2,"fleg",1.25e-07,1e+05,0,0,1,213117,1
"2-0.15-1e+05-1.25e-08-fleg",0,0.15,2,"fleg",1.25e-08,1e+05,0,0,0,500,0
"2-0.15-1e+05-1.25e-08-fleg",1,0.15,2,"fleg",1.25e-08,1e+05,0,0,0.09,706,0.08
"2-0.15-1e+05-1.25e-08-fleg",4,0.15,2,"fleg",1.25e-08,1e+05,0.01,0,1,244307,1
"2-0.3-10000-1.25e-07-fleg",0,0.3,2,"fleg",1.25e-07,10000,0,0,0.04,504,0
"2-0.3-10000-1.25e-07-fleg",1,0.3,2,"fleg",1.25e-07,10000,0,0,0.79,14292,0.78
"2-0.3-10000-1.25e-07-fleg",4,0.3,2,"fleg",1.25e-07,10000,0,0,1,525239,1
"2-0.3-10000-1.25e-08-fleg",0,0.3,2,"fleg",1.25e-08,10000,0,0,0.1,500,0
"2-0.3-10000-1.25e-08-fleg",1,0.3,2,"fleg",1.25e-08,10000,0,0,0.77,12705,0.71
"2-0.3-10000-1.25e-08-fleg",4,0.3,2,"fleg",1.25e-08,10000,0,0,1,583443,1
"2-0.3-1e+05-1.25e-07-fleg",0,0.3,2,"fleg",1.25e-07,1e+05,0,0,0.01,500,0
"2-0.3-1e+05-1.25e-07-fleg",1,0.3,2,"fleg",1.25e-07,1e+05,0,0,0.2,902,0.2
"2-0.3-1e+05-1.25e-07-fleg",4,0.3,2,"fleg",1.25e-07,1e+05,0,0,1,171920,1
"2-0.3-1e+05-1.25e-08-fleg",0,0.3,2,"fleg",1.25e-08,1e+05,0,0,0.02,500,0
"2-0.3-1e+05-1.25e-08-fleg",1,0.3,2,"fleg",1.25e-08,1e+05,0,0,0.08,706,0.07
"2-0.3-1e+05-1.25e-08-fleg",4,0.3,2,"fleg",1.25e-08,1e+05,0.01,0,1,228595,1
"2-0.5-10000-1.25e-07-fleg",0,0.5,2,"fleg",1.25e-07,10000,0,0,0.12,500,0
"2-0.5-10000-1.25e-07-fleg",1,0.5,2,"fleg",1.25e-07,10000,0,0,0.7,12333,0.66
"2-0.5-10000-1.25e-07-fleg",4,0.5,2,"fleg",1.25e-07,10000,0,0,1,500717,1
"2-0.5-10000-1.25e-08-fleg",0,0.5,2,"fleg",1.25e-08,10000,0,0,0.09,513,0
"2-0.5-10000-1.25e-08-fleg",1,0.5,2,"fleg",1.25e-08,10000,0,0,0.8,13397,0.78
"2-0.5-10000-1.25e-08-fleg",4,0.5,2,"fleg",1.25e-08,10000,0,0,1,563583,1
"2-0.5-1e+05-1.25e-07-fleg",0,0.5,2,"fleg",1.25e-07,1e+05,0,0,0.06,500,0
"2-0.5-1e+05-1.25e-07-fleg",1,0.5,2,"fleg",1.25e-07,1e+05,0,0,0.23,832,0.23
"2-0.5-1e+05-1.25e-07-fleg",4,0.5,2,"fleg",1.25e-07,1e+05,0,0,0.96,99447,0.95
"2-0.5-1e+05-1.25e-08-fleg",0,0.5,2,"fleg",1.25e-08,1e+05,0,0,0.07,500,0
"2-0.5-1e+05-1.25e-08-fleg",1,0.5,2,"fleg",1.25e-08,1e+05,0,0,0.09,717,0.09
"2-0.5-1e+05-1.25e-08-fleg",4,0.5,2,"fleg",1.25e-08,1e+05,0.01,0,1,234501,1
