"irep","net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
2,"g2-l1-c43","0",2,"1","2","1","large",5,4,FALSE,0,1,0.4,-6.0737981797756
2,"g2-l1-c43","1",2,"1","2","1","large",5,2,FALSE,0,2,1.4,7.17153228505716
2,"g2-l1-c43","2",2,"1","2","1","large",5,8,FALSE,0,2,1.6,13.7134725152336
2,"g2-l1-c44","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-27.8156795019339
2,"g2-l1-c44","1",2,"1","4","0","large",5,2,FALSE,0,2,1.6,-5.58728538056928
2,"g2-l1-c44","2",2,"1","4","0","large",5,6,FALSE,2,0,0,4.21324825877929
2,"g2-l1-c45","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-274.427827465542
2,"g2-l1-c45","1",2,"1","4","0","large",5,2,FALSE,0,1,0.6,-17.9102663436095
2,"g2-l1-c45","2",2,"1","4","0","large",5,0,TRUE,0,2,1.6,7.00433504167941
2,"g2-l2-g33","0",2,"2","2","2","large",5,4,FALSE,0,1,0.4,-7.27306928245591
2,"g2-l2-g33","1",2,"2","2","2","large",5,2,FALSE,0,2,1.6,3.99901728110705
2,"g2-l2-g33","2",2,"2","2","2","large",5,4,FALSE,0,2,1,10.1711736349816
2,"g2-l2-g46","0",2,"2","4","0","large",5,10,FALSE,6,0,0,-2417.87352389955
2,"g2-l2-g46","1",2,"2","4","0","large",5,2,FALSE,0,1,0.6,-20.7104864941241
2,"g2-l2-g46","2",2,"2","4","0","large",5,0,TRUE,0,2,1.6,2.90122131125647
2,"g2-l2-n04","0",2,"2","3","0","large",5,8,FALSE,2,0,0,-465.950106718831
2,"g2-l2-n04","1",2,"2","3","0","large",5,2,FALSE,2,1,0.6,-3.94785286744483
2,"g2-l2-n04","2",2,"2","3","0","large",5,4,FALSE,2,1,1,1.55809304721083
2,"g2-l2-n44","0",2,"2","4","0","large",5,4,FALSE,0,1,0.4,-206.604980803268
2,"g2-l2-n44","1",2,"2","4","0","large",5,4,FALSE,2,1,0.2,-11.186170582553
2,"g2-l2-n44","2",2,"2","4","0","large",5,6,FALSE,0,1,0.4,4.74069900962062
2,"g2-l2-n46","0",2,"2","4","0","large",5,10,FALSE,4,0,0,-2293.87996122773
2,"g2-l2-n46","1",2,"2","4","0","large",5,2,FALSE,0,2,0.8,-1.77986218424278
2,"g2-l2-n46","2",2,"2","4","0","large",5,0,TRUE,0,2,1.2,2.92481915370385
2,"g3-l3-c54","0",3,"3","6","0","large",5,10,FALSE,2,0,0,-2123.41686315049
2,"g3-l3-c54","1",3,"3","6","0","large",5,8,FALSE,4,0,0,-586.12833131863
2,"g3-l3-c54","3",3,"3","6","0","large",5,2,FALSE,0,2,2,1.79047637913004
2,"g3-ntc","0",3,"3","4","1","large",5,12,FALSE,4,0,0,-2004.53165451241
2,"g3-ntc","1",3,"3","4","1","large",5,6,FALSE,0,2,0.8,-105.944974105684
2,"g3-ntc","3",3,"3","4","1","large",5,4,FALSE,0,2,2,5.63168084717124
2,"g3-tc","0",3,"3","6","2","large",5,6,FALSE,2,1,0.4,-191.04278102266
2,"g3-tc","1",3,"3","6","2","large",5,4,FALSE,2,1,1,-8.00843608700604
2,"g3-tc","3",3,"3","6","2","large",5,4,FALSE,2,2,2,6.1812299577741
2,"g4-l4-c34","0",4,"4","10","1","large",5,14,FALSE,2,0,0,-2137.96048051452
2,"g4-l4-c34","1",4,"4","10","1","large",5,10,FALSE,2,0,0,-670.617632668545
2,"g4-l4-c34","4",4,"4","10","1","large",5,6,FALSE,2,2,1.8,2.8626047730066
2,"g4-lg","0",4,"4","8","2","large",5,14,FALSE,2,1,0.2,-1436.61991772852
2,"g4-lg","1",4,"4","8","2","large",5,6,FALSE,4,1,0.6,-28.5304559005108
2,"g4-lg","4",4,"4","8","2","large",5,4,FALSE,2,2,1.6,2.52060514341801
2,"g4-sg","0",4,"4","8","2","small",5,12,FALSE,0,1,0.2,-83.9079108113687
2,"g4-sg","1",4,"4","8","2","small",5,6,FALSE,0,1,1,-8.04610586031691
2,"g4-sg","4",4,"4","8","2","small",5,8,FALSE,0,2,2,3.53264659718412
3,"g1-l1-c3","0",1,"1","1","1","large",5,2,FALSE,0,1,0.2,1.43288053445101
3,"g1-l1-c3","1",1,"1","1","1","large",5,4,FALSE,0,1,0.8,8.43014553006809
3,"g1-l1-c3","2",1,"1","1","1","large",5,6,FALSE,0,1,0.8,10.6294797912143
3,"g1-lg","0",1,"1","2","0","large",5,2,FALSE,0,1,0.4,-17.8636990940243
3,"g1-lg","1",1,"1","2","0","large",5,0,TRUE,0,2,1.6,4.8935443694759
3,"g1-lg","2",1,"1","2","0","large",5,6,FALSE,0,2,0.8,7.82398852561348
3,"g1-sg","0",1,"1","2","0","small",5,2,FALSE,2,1,0.2,-0.313903835445032
3,"g1-sg","1",1,"1","2","0","small",5,6,FALSE,2,1,1,4.08371596862182
3,"g1-sg","2",1,"1","2","0","small",5,8,FALSE,2,1,1,6.7415461430547
3,"g2-l1-c33","0",2,"1","1","2","large",5,4,FALSE,0,1,0.2,1.31174253462327
3,"g2-l1-c33","1",2,"1","1","2","large",5,4,FALSE,0,1,0.8,5.04918434586465
3,"g2-l1-c33","2",2,"1","1","2","large",5,8,FALSE,0,1,0.6,7.91304747453659
3,"g2-l1-c43","0",2,"1","2","1","large",5,4,FALSE,0,1,0.4,-11.7806931266027
